emotion,stress_count,stress_rate,no_stress_count,no_stress_rate,rate_difference,rate_ratio
annoyance,66,0.2661290322580645,221,0.0913978494623656,0.1747311827956989,2.911764705882353
disappointment,51,0.2056451612903226,102,0.04218362282878412,0.16346153846153846,4.875
confusion,59,0.23790322580645162,272,0.11248966087675766,0.12541356492969397,2.114889705882353
realization,45,0.1814516129032258,174,0.07196029776674938,0.10949131513647643,2.521551724137931
disapproval,74,0.29838709677419356,470,0.19437551695616212,0.10401157981803144,1.5351063829787235
curiosity,56,0.22580645161290322,392,0.1621174524400331,0.06368899917287013,1.3928571428571428
approval,87,0.35080645161290325,741,0.3064516129032258,0.044354838709677435,1.1447368421052633
optimism,30,0.12096774193548387,193,0.07981803143093466,0.041149710504549214,1.5155440414507773
desire,8,0.03225806451612903,23,0.009511993382961124,0.022746071133167907,3.391304347826087
sadness,4,0.016129032258064516,4,0.0016542597187758478,0.014474772539288668,9.75
caring,7,0.028225806451612902,41,0.01695616211745244,0.011269644334160462,1.6646341463414633
anger,3,0.012096774193548387,4,0.0016542597187758478,0.010442514474772539,7.3125
fear,3,0.012096774193548387,6,0.0024813895781637717,0.009615384615384616,4.875
joy,3,0.012096774193548387,8,0.0033085194375516956,0.008788254755996691,3.65625
remorse,2,0.008064516129032258,8,0.0033085194375516956,0.004755996691480562,2.4375
surprise,1,0.004032258064516129,5,0.0020678246484698098,0.001964433416046319,1.95
love,1,0.004032258064516129,9,0.0037220843672456576,0.00031017369727047136,1.0833333333333333
relief,0,0.0,0,0.0,0.0,
amusement,2,0.008064516129032258,20,0.008271298593879239,-0.0002067824648469812,0.975
embarrassment,0,0.0,1,0.00041356492969396195,-0.00041356492969396195,0.0
pride,0,0.0,1,0.00041356492969396195,-0.00041356492969396195,0.0
grief,0,0.0,2,0.0008271298593879239,-0.0008271298593879239,0.0
nervousness,0,0.0,2,0.0008271298593879239,-0.0008271298593879239,0.0
disgust,0,0.0,4,0.0016542597187758478,-0.0016542597187758478,0.0
excitement,2,0.008064516129032258,26,0.010752688172043012,-0.0026881720430107538,0.7499999999999999
gratitude,0,0.0,29,0.011993382961124897,-0.011993382961124897,0.0
admiration,7,0.028225806451612902,140,0.05789909015715467,-0.02967328370554177,0.4875
neutral,80,0.3225806451612903,1444,0.597187758478081,-0.2746071133167907,0.5401662049861496
