top_emotion,No stress,Stress
admiration,94.84536082474226,5.154639175257731
amusement,88.23529411764706,11.76470588235294
anger,80.0,20.0
annoyance,84.375,15.625
approval,91.58878504672897,8.411214953271028
caring,96.42857142857143,3.571428571428571
confusion,82.45614035087719,17.543859649122805
curiosity,90.05376344086021,9.946236559139784
desire,85.71428571428571,14.285714285714285
disappointment,62.66666666666667,37.333333333333336
disapproval,88.53503184713377,11.464968152866243
disgust,100.0,0.0
embarrassment,100.0,0.0
excitement,92.85714285714286,7.142857142857142
fear,75.0,25.0
gratitude,100.0,0.0
grief,100.0,0.0
joy,100.0,0.0
love,87.5,12.5
nervousness,100.0,0.0
neutral,97.07259953161592,2.927400468384075
optimism,90.79754601226993,9.202453987730062
pride,100.0,0.0
realization,82.11920529801324,17.880794701986755
remorse,100.0,0.0
sadness,40.0,60.0
surprise,88.88888888888889,11.11111111111111
