month,AI,Claude/Anthropic,Gemini,LLM,Llama
2017-07,0,0,0,0,0
2018-11,0,0,0,0,0
2019-04,0,0,0,0,0
2020-09,0,0,0,0,0
2021-11,1,0,0,0,0
2022-11,0,0,0,0,0
2023-08,1,0,0,0,1
2023-10,1,0,0,0,0
2023-11,0,0,0,0,0
2023-12,0,0,0,1,0
2024-01,0,0,0,0,1
2024-03,1,0,0,0,0
2024-04,1,0,0,1,0
2024-05,0,0,0,1,1
2024-09,0,0,0,0,1
2024-10,0,0,0,0,2
2025-01,1,1,0,1,0
2025-02,0,0,0,1,0
2025-03,0,1,0,1,0
2025-04,1,0,1,1,1
2025-05,120,106,114,64,71
2025-06,97,62,82,53,53
2025-07,107,65,73,81,79
2025-08,98,69,90,73,84
2025-09,98,81,62,54,66
2025-10,61,46,52,46,51
2025-11,2,0,0,0,0
2025-12,3,2,0,0,0
2026-01,3,0,0,1,0
2026-02,1,1,0,1,0
2026-03,5,2,0,1,0
2026-04,2,1,0,1,1
2026-05,12,11,0,3,0
2026-06,15,9,0,2,2
2026-07,327,66,11,51,3
