emotion,predicted_count,predicted_rate,threshold,average_probability
neutral,1524,0.5716429107276819,0.4900000000000002,0.5118085108621157
approval,828,0.31057764441110275,0.5900000000000003,0.4637090110052457
disapproval,544,0.2040510127531883,0.5500000000000003,0.34164578063626055
curiosity,448,0.16804201050262565,0.7300000000000004,0.42004272609074134
confusion,331,0.12415603900975244,0.7500000000000004,0.36804288091059323
annoyance,287,0.10765191297824456,0.5500000000000003,0.30612815632427803
optimism,223,0.08364591147786947,0.7500000000000004,0.3075142233674729
realization,219,0.08214553638409602,0.7400000000000004,0.3281272906237505
disappointment,153,0.05738934733683421,0.6900000000000004,0.29286697270634315
admiration,147,0.055138784696174045,0.6300000000000003,0.21857477668710523
caring,48,0.01800450112528132,0.7400000000000004,0.1735020753744083
desire,31,0.011627906976744186,0.7500000000000004,0.14062252276611523
gratitude,29,0.010877719429857465,0.6600000000000004,0.09929099955466894
excitement,28,0.010502625656414103,0.6700000000000004,0.11122488465173483
amusement,22,0.008252063015753939,0.5700000000000003,0.10408451326912635
joy,11,0.004126031507876969,0.7200000000000004,0.1290136403504145
remorse,10,0.0037509377344336083,0.6100000000000003,0.057206580242958494
love,10,0.0037509377344336083,0.7200000000000004,0.07633852461554293
fear,9,0.0033758439609902473,0.7000000000000004,0.08858626803510197
sadness,8,0.003000750187546887,0.7000000000000004,0.10673036442894283
anger,7,0.002625656414103526,0.6800000000000004,0.11127364109067657
surprise,6,0.002250562640660165,0.7500000000000004,0.09157664059907507
disgust,4,0.0015003750937734434,0.7600000000000005,0.07932705800032756
grief,2,0.0007501875468867217,0.61,0.011955831210957071
nervousness,2,0.0007501875468867217,0.7800000000000005,0.05454842951808534
embarrassment,1,0.00037509377344336085,0.7700000000000005,0.08082702581861176
pride,1,0.00037509377344336085,0.61,0.0255181959409819
relief,0,0.0,0.61,0.03339352343265892
