emotion,validation_support,selected_threshold,validation_f1,selection_reason
admiration,488,0.6300000000000003,0.6749049429657795,optimized_on_validation_f1
amusement,303,0.5700000000000003,0.75,optimized_on_validation_f1
anger,195,0.6800000000000004,0.45255474452554745,optimized_on_validation_f1
annoyance,303,0.5500000000000003,0.27524752475247527,optimized_on_validation_f1
approval,397,0.5900000000000003,0.32673267326732675,optimized_on_validation_f1
caring,153,0.7400000000000004,0.39628482972136225,optimized_on_validation_f1
confusion,152,0.7500000000000004,0.3803680981595092,optimized_on_validation_f1
curiosity,248,0.7300000000000004,0.4277673545966229,optimized_on_validation_f1
desire,77,0.7500000000000004,0.47398843930635837,optimized_on_validation_f1
disappointment,163,0.6900000000000004,0.22492401215805471,optimized_on_validation_f1
disapproval,292,0.5500000000000003,0.35203520352035206,optimized_on_validation_f1
disgust,97,0.7600000000000005,0.41545893719806765,optimized_on_validation_f1
embarrassment,35,0.7700000000000005,0.4745762711864407,optimized_on_validation_f1
excitement,96,0.6700000000000004,0.2926829268292683,optimized_on_validation_f1
fear,90,0.7000000000000004,0.5977011494252874,optimized_on_validation_f1
gratitude,358,0.6600000000000004,0.9002849002849003,optimized_on_validation_f1
grief,13,0.61,0.45714285714285713,global_threshold_due_to_low_validation_support
joy,172,0.7200000000000004,0.555858310626703,optimized_on_validation_f1
love,252,0.7200000000000004,0.7747747747747747,optimized_on_validation_f1
nervousness,21,0.7800000000000005,0.35294117647058826,optimized_on_validation_f1
optimism,209,0.7500000000000004,0.5721271393643031,optimized_on_validation_f1
pride,15,0.61,0.5,global_threshold_due_to_low_validation_support
realization,127,0.7400000000000004,0.24806201550387597,optimized_on_validation_f1
relief,18,0.61,0.16,global_threshold_due_to_low_validation_support
remorse,68,0.6100000000000003,0.759493670886076,optimized_on_validation_f1
sadness,143,0.7000000000000004,0.4597014925373134,optimized_on_validation_f1
surprise,129,0.7500000000000004,0.46886446886446886,optimized_on_validation_f1
neutral,1766,0.49000000000000027,0.6387141858839972,optimized_on_validation_f1
