emotion,train_positive_count,train_positive_rate
neutral,14219,0.3275512554710896
admiration,4130,0.09513936880903018
approval,2939,0.06770329417184981
gratitude,2662,0.061322275973278044
annoyance,2470,0.056899331951163326
amusement,2328,0.053628196268140985
curiosity,2191,0.050472241419027876
love,2086,0.04805344390693388
disapproval,2022,0.046579129232895644
optimism,1581,0.0364201796821009
anger,1567,0.03609767334715503
joy,1452,0.03344851416724257
confusion,1368,0.03151347615756738
sadness,1326,0.030545957152729786
disappointment,1269,0.029232895646164478
realization,1110,0.025570145127850726
caring,1087,0.025040313291868233
surprise,1060,0.02441833678875835
excitement,853,0.01964985026491592
disgust,793,0.018267680258005067
desire,641,0.014766182907164247
fear,596,0.01372955540198111
remorse,545,0.012554710896106889
embarrassment,303,0.0069799585348997925
nervousness,164,0.00377793135222299
relief,153,0.0035245335176226677
pride,111,0.0025570145127850725
grief,77,0.0017737848422022576
