ai_tools,Increased stress or distress,Mixed or ambiguous,Reduced stress or relief,No clear stress signal
AI,19.1,0.09,0.09,80.71
AI agent,18.95,0.0,0.0,81.05
AI coding assistant,33.33,0.0,0.0,66.67
Aider,5.0,0.0,0.0,95.0
Artificial Intelligence,47.06,0.0,0.0,52.94
ChatGPT,24.29,0.0,0.4,75.3
Claude/Anthropic,14.37,0.0,0.15,85.48
Codeium,0.0,0.0,0.0,100.0
Cursor,17.5,0.0,0.0,82.5
DeepSeek,12.0,0.0,0.0,88.0
GPT,18.3,0.0,0.0,81.7
Gemini,14.34,0.2,0.2,85.25
Generative AI,27.78,0.0,0.0,72.22
GitHub Copilot,14.84,0.0,0.0,85.16
LLM,20.71,0.0,0.0,79.29
Llama,14.56,0.0,0.0,85.44
Mistral,24.56,0.0,0.0,75.44
OpenAI,18.43,0.0,0.0,81.57
Qwen,20.59,0.0,0.0,79.41
