month,Increased stress or distress,Mixed or ambiguous,Reduced stress or relief,No clear stress signal
2017-07,0,0,0,1
2018-11,0,0,0,1
2019-04,0,0,0,1
2020-09,1,0,0,0
2021-11,0,0,0,1
2022-11,0,0,0,1
2023-08,1,0,0,1
2023-10,0,0,0,1
2023-11,0,0,0,1
2023-12,0,0,0,1
2024-01,0,0,0,1
2024-03,0,0,0,1
2024-04,0,0,0,2
2024-05,0,0,0,2
2024-09,0,0,0,1
2024-10,0,0,0,2
2025-01,1,0,0,6
2025-02,0,0,0,3
2025-03,0,0,0,4
2025-04,1,0,0,4
2025-05,68,1,0,314
2025-06,57,0,0,224
2025-07,44,0,0,252
2025-08,58,0,1,359
2025-09,42,0,1,252
2025-10,31,0,0,181
2025-11,0,0,0,2
2025-12,1,0,0,5
2026-01,1,0,0,4
2026-02,1,0,0,4
2026-03,4,0,0,7
2026-04,1,0,0,8
2026-05,11,0,0,31
2026-06,9,0,0,27
2026-07,72,0,1,414
