month,Increased stress or distress,Mixed or ambiguous,Reduced stress or relief,No clear stress signal
2017-07,0.0,0.0,0.0,100.0
2018-11,0.0,0.0,0.0,100.0
2019-04,0.0,0.0,0.0,100.0
2020-09,100.0,0.0,0.0,0.0
2021-11,0.0,0.0,0.0,100.0
2022-11,0.0,0.0,0.0,100.0
2023-08,50.0,0.0,0.0,50.0
2023-10,0.0,0.0,0.0,100.0
2023-11,0.0,0.0,0.0,100.0
2023-12,0.0,0.0,0.0,100.0
2024-01,0.0,0.0,0.0,100.0
2024-03,0.0,0.0,0.0,100.0
2024-04,0.0,0.0,0.0,100.0
2024-05,0.0,0.0,0.0,100.0
2024-09,0.0,0.0,0.0,100.0
2024-10,0.0,0.0,0.0,100.0
2025-01,14.29,0.0,0.0,85.71
2025-02,0.0,0.0,0.0,100.0
2025-03,0.0,0.0,0.0,100.0
2025-04,20.0,0.0,0.0,80.0
2025-05,17.75,0.26,0.0,81.98
2025-06,20.28,0.0,0.0,79.72
2025-07,14.86,0.0,0.0,85.14
2025-08,13.88,0.0,0.24,85.89
2025-09,14.24,0.0,0.34,85.42
2025-10,14.62,0.0,0.0,85.38
2025-11,0.0,0.0,0.0,100.0
2025-12,16.67,0.0,0.0,83.33
2026-01,20.0,0.0,0.0,80.0
2026-02,20.0,0.0,0.0,80.0
2026-03,36.36,0.0,0.0,63.64
2026-04,11.11,0.0,0.0,88.89
2026-05,26.19,0.0,0.0,73.81
2026-06,25.0,0.0,0.0,75.0
2026-07,14.78,0.0,0.21,85.01
