emotion,stress_count,stress_rate,no_stress_count,no_stress_rate,rate_difference,rate_ratio
annoyance,66,0.2661290322580645,221,0.0913978494623656,0.1747311827956989,2.911764705882353
disappointment,51,0.2056451612903226,102,0.0421836228287841,0.1634615384615384,4.875
confusion,59,0.2379032258064516,272,0.1124896608767576,0.1254135649296939,2.114889705882353
realization,45,0.1814516129032258,174,0.0719602977667493,0.1094913151364764,2.521551724137931
disapproval,74,0.2983870967741935,470,0.1943755169561621,0.1040115798180314,1.5351063829787237
curiosity,56,0.2258064516129032,392,0.1621174524400331,0.0636889991728701,1.3928571428571428
approval,87,0.3508064516129032,741,0.3064516129032258,0.0443548387096774,1.1447368421052633
optimism,30,0.1209677419354838,193,0.0798180314309346,0.0411497105045492,1.5155440414507773
desire,8,0.032258064516129,23,0.0095119933829611,0.0227460711331679,3.391304347826087
sadness,4,0.0161290322580645,4,0.0016542597187758,0.0144747725392886,9.75
caring,7,0.0282258064516129,41,0.0169561621174524,0.0112696443341604,1.6646341463414631
anger,3,0.0120967741935483,4,0.0016542597187758,0.0104425144747725,7.3125
fear,3,0.0120967741935483,6,0.0024813895781637,0.0096153846153846,4.875
joy,3,0.0120967741935483,8,0.0033085194375516,0.0087882547559966,3.65625
remorse,2,0.0080645161290322,8,0.0033085194375516,0.0047559966914805,2.4375
surprise,1,0.0040322580645161,5,0.0020678246484698,0.0019644334160463,1.95
love,1,0.0040322580645161,9,0.0037220843672456,0.0003101736972704,1.0833333333333333
relief,0,0.0,0,0.0,0.0,
amusement,2,0.0080645161290322,20,0.0082712985938792,-0.0002067824648469,0.975
embarrassment,0,0.0,1,0.0004135649296939,-0.0004135649296939,0.0
pride,0,0.0,1,0.0004135649296939,-0.0004135649296939,0.0
grief,0,0.0,2,0.0008271298593879,-0.0008271298593879,0.0
nervousness,0,0.0,2,0.0008271298593879,-0.0008271298593879,0.0
disgust,0,0.0,4,0.0016542597187758,-0.0016542597187758,0.0
excitement,2,0.0080645161290322,26,0.010752688172043,-0.0026881720430107,0.7499999999999999
gratitude,0,0.0,29,0.0119933829611248,-0.0119933829611248,0.0
admiration,7,0.0282258064516129,140,0.0578990901571546,-0.0296732837055417,0.4875
neutral,80,0.3225806451612903,1444,0.597187758478081,-0.2746071133167907,0.5401662049861496
