ai_tools,Negative,Neutral,Positive
AI,16.46,67.54,15.99
AI agent,10.46,65.36,24.18
AI coding assistant,0.0,66.67,33.33
Aider,15.0,50.0,35.0
Artificial Intelligence,17.65,58.82,23.53
ChatGPT,38.87,49.39,11.74
Claude/Anthropic,16.04,65.96,18.0
Codeium,0.0,100.0,0.0
Cursor,8.75,71.25,20.0
DeepSeek,14.0,60.0,26.0
GPT,28.94,54.89,16.17
Gemini,13.74,62.22,24.04
Generative AI,22.22,55.56,22.22
GitHub Copilot,21.94,73.55,4.52
LLM,12.03,65.26,22.72
Llama,13.37,63.48,23.15
Mistral,12.28,75.44,12.28
OpenAI,25.49,63.14,11.37
Qwen,9.56,64.71,25.74
