month,Negative,Neutral,Positive
2017-07,0,1,0
2018-11,0,1,0
2019-04,0,1,0
2020-09,1,0,0
2021-11,0,1,0
2022-11,0,1,0
2023-08,0,1,1
2023-10,0,1,0
2023-11,0,1,0
2023-12,0,1,0
2024-01,0,1,0
2024-03,0,1,0
2024-04,0,2,0
2024-05,1,1,0
2024-09,0,1,0
2024-10,0,1,1
2025-01,3,4,0
2025-02,2,1,0
2025-03,1,3,0
2025-04,2,3,0
2025-05,68,233,82
2025-06,61,154,66
2025-07,41,186,69
2025-08,101,251,66
2025-09,66,147,82
2025-10,33,122,57
2025-11,0,2,0
2025-12,1,5,0
2026-01,0,5,0
2026-02,1,4,0
2026-03,3,8,0
2026-04,1,8,0
2026-05,11,30,1
2026-06,4,31,1
2026-07,62,393,32
