month,Negative,Neutral,Positive
2017-07,0.0,100.0,0.0
2018-11,0.0,100.0,0.0
2019-04,0.0,100.0,0.0
2020-09,100.0,0.0,0.0
2021-11,0.0,100.0,0.0
2022-11,0.0,100.0,0.0
2023-08,0.0,50.0,50.0
2023-10,0.0,100.0,0.0
2023-11,0.0,100.0,0.0
2023-12,0.0,100.0,0.0
2024-01,0.0,100.0,0.0
2024-03,0.0,100.0,0.0
2024-04,0.0,100.0,0.0
2024-05,50.0,50.0,0.0
2024-09,0.0,100.0,0.0
2024-10,0.0,50.0,50.0
2025-01,42.86,57.14,0.0
2025-02,66.67,33.33,0.0
2025-03,25.0,75.0,0.0
2025-04,40.0,60.0,0.0
2025-05,17.75,60.84,21.41
2025-06,21.71,54.8,23.49
2025-07,13.85,62.84,23.31
2025-08,24.16,60.05,15.79
2025-09,22.37,49.83,27.8
2025-10,15.57,57.55,26.89
2025-11,0.0,100.0,0.0
2025-12,16.67,83.33,0.0
2026-01,0.0,100.0,0.0
2026-02,20.0,80.0,0.0
2026-03,27.27,72.73,0.0
2026-04,11.11,88.89,0.0
2026-05,26.19,71.43,2.38
2026-06,11.11,86.11,2.78
2026-07,12.73,80.7,6.57
