ai_tools,Negative,Neutral,Positive
AI,22.01,14.68,63.31
AI agent,15.03,16.34,68.63
AI coding assistant,22.22,0.0,77.78
Aider,15.0,25.0,60.0
Artificial Intelligence,11.76,0.0,88.24
ChatGPT,31.17,9.31,59.51
Claude/Anthropic,23.6,18.76,57.64
Codeium,100.0,0.0,0.0
Cursor,18.75,3.75,77.5
DeepSeek,16.0,10.0,74.0
GPT,22.98,9.79,67.23
Gemini,15.35,21.21,63.43
Generative AI,16.67,11.11,72.22
GitHub Copilot,32.9,10.32,56.77
LLM,14.03,3.79,82.18
Llama,14.32,4.06,81.62
Mistral,15.79,0.0,84.21
OpenAI,22.35,14.9,62.75
Qwen,15.44,2.94,81.62
