month,Negative,Neutral,Positive
2017-07,0,1,0
2018-11,1,0,0
2019-04,1,0,0
2020-09,1,0,0
2021-11,0,0,1
2022-11,0,0,1
2023-08,0,0,2
2023-10,1,0,0
2023-11,0,0,1
2023-12,0,0,1
2024-01,0,0,1
2024-03,0,0,1
2024-04,0,0,2
2024-05,0,0,2
2024-09,0,0,1
2024-10,0,0,2
2025-01,4,1,2
2025-02,2,1,0
2025-03,2,0,2
2025-04,1,0,4
2025-05,54,69,260
2025-06,69,30,182
2025-07,52,17,227
2025-08,87,61,270
2025-09,55,33,207
2025-10,31,30,151
2025-11,1,0,1
2025-12,1,1,4
2026-01,2,0,3
2026-02,2,0,3
2026-03,4,0,7
2026-04,6,0,3
2026-05,19,5,18
2026-06,13,3,20
2026-07,123,97,267
