month,Negative,Neutral,Positive
2017-07,0.0,100.0,0.0
2018-11,100.0,0.0,0.0
2019-04,100.0,0.0,0.0
2020-09,100.0,0.0,0.0
2021-11,0.0,0.0,100.0
2022-11,0.0,0.0,100.0
2023-08,0.0,0.0,100.0
2023-10,100.0,0.0,0.0
2023-11,0.0,0.0,100.0
2023-12,0.0,0.0,100.0
2024-01,0.0,0.0,100.0
2024-03,0.0,0.0,100.0
2024-04,0.0,0.0,100.0
2024-05,0.0,0.0,100.0
2024-09,0.0,0.0,100.0
2024-10,0.0,0.0,100.0
2025-01,57.14,14.29,28.57
2025-02,66.67,33.33,0.0
2025-03,50.0,0.0,50.0
2025-04,20.0,0.0,80.0
2025-05,14.1,18.02,67.89
2025-06,24.56,10.68,64.77
2025-07,17.57,5.74,76.69
2025-08,20.81,14.59,64.59
2025-09,18.64,11.19,70.17
2025-10,14.62,14.15,71.23
2025-11,50.0,0.0,50.0
2025-12,16.67,16.67,66.67
2026-01,40.0,0.0,60.0
2026-02,40.0,0.0,60.0
2026-03,36.36,0.0,63.64
2026-04,66.67,0.0,33.33
2026-05,45.24,11.9,42.86
2026-06,36.11,8.33,55.56
2026-07,25.26,19.92,54.83
