feature,tfidf_sum
gemini,72.03628120403044
claude,62.818252584668926
anthropic,53.28966124534881
llama,40.68360673593245
google,32.772257000138886
pro,31.583715090106676
open,31.107530671147586
ve,30.860847191599085
local,29.638047331504428
run,29.579050087568902
time,28.552983662187238
don,27.381712484555642
know,27.353577239791797
agent,27.039567948981972
want,26.786783160645324
cpp,26.48038119066978
think,26.38998878570169
llama cpp,26.05448917154967
context,25.54956981298595
source,25.54057385630521
does,25.160999961986416
data,24.88278048951188
gemini pro,24.68984145248776
better,24.568091921741985
chat,24.126564243073542
version,23.409042717137073
prompt,23.3321026483213
people,23.07016307817474
need,22.635289017613157
removed,21.92430255498958
