topic_id,rank,term,weight
0,1,ve,0.45550250176663926
0,2,don,0.42499034618596837
0,3,know,0.4154226535289985
0,4,think,0.38438195386023055
0,5,people,0.36369655338322626
0,6,want,0.354904758772583
0,7,time,0.33763809685053253
0,8,better,0.3324487962782831
0,9,need,0.3112180004601066
0,10,right,0.28728944387309097
0,11,help,0.28721436204663175
0,12,data,0.28349859782708925
0,13,actually,0.2774514864179452
0,14,real,0.2699352262312948
0,15,lot,0.26237167426862046
1,1,gemini pro,1.315434020888984
1,2,pro,1.2736698902591765
1,3,gemini,0.8602427810445015
1,4,preview,0.2789876256004294
1,5,06,0.24835669395624946
1,6,05,0.21618104487582018
1,7,pro preview,0.18322035322082056
1,8,05 06,0.1713804211760148
1,9,update,0.15326834072123582
1,10,discount,0.1447229747808711
1,11,pro discount,0.1444706311382437
1,12,06 05,0.13745812947062924
1,13,discount nn,0.1227376294539201
1,14,preview 05,0.11192069922375189
1,15,nn,0.10944652510518718
2,1,enabled,0.32370232148422967
2,2,disabled,0.27349152425546414
2,3,ms,0.25141666275756824
2,4,cp,0.24845040403571414
2,5,cls,0.24604007411539375
2,6,vscode,0.24479534839543168
2,7,cp cls,0.23793077105936536
2,8,version,0.21942298727321247
2,9,driver,0.20416904992006193
2,10,vendor,0.19228740638824104
2,11,disabled ok,0.18859601596298234
2,12,nes,0.18724984812133946
2,13,ok,0.1743771257136379
2,14,video,0.16085690403216185
2,15,driver version,0.15309362130862392
3,1,anthropic,1.9316305166220102
3,2,claude anthropic,0.22871014533217388
3,3,anthropic claude,0.19378796167639045
3,4,billion,0.17454515144338403
3,5,google,0.17317244028669718
3,6,frontier,0.14923796255165456
3,7,fable,0.14219168864187542
3,8,claude,0.13953593000717596
3,9,2026,0.13285174775019676
3,10,tech,0.1279844544837087
3,11,copyright,0.11923196267642032
3,12,ceo,0.11899030130371174
3,13,says,0.11447267395343452
3,14,technology,0.11197346715454999
3,15,claudeai,0.10526679211997178
4,1,llama,1.0639556419195104
4,2,cpp,0.9308882406465558
4,3,llama cpp,0.9294764536417113
4,4,gguf,0.37712072863020396
4,5,qwen3,0.32971007393194757
4,6,gpu,0.2847795903573694
4,7,ollama,0.27447945540611335
4,8,run,0.27075986720473183
4,9,support,0.24576282820996292
4,10,running,0.2403756273193874
4,11,cpu,0.23346176692487847
4,12,performance,0.20398174069442074
4,13,inference,0.20329304023128197
4,14,vram,0.1926660911586359
4,15,server,0.19145743605985535
5,1,claude,1.5570917425161583
5,2,sonnet,0.5211155427168037
5,3,opus,0.4817600189156321
5,4,claude sonnet,0.42302728706367043
5,5,claude opus,0.3633590305334005
5,6,glm,0.1791208773493336
5,7,claudeai anthropic,0.12646403456925506
5,8,claudeai,0.12602391526887854
5,9,codex,0.12227133484864099
5,10,anthropic statusupdate,0.11855351896909719
5,11,statusupdate,0.11855351896909719
5,12,claude component,0.11662092137642675
5,13,component claude,0.11662092137642675
5,14,vs,0.10588038868559102
5,15,component,0.10181431912548909
6,1,output mismatch,0.3409717019826541
6,2,mismatch,0.31710153985825773
6,3,list output,0.31180361598020256
6,4,output differs,0.31180361598020256
6,5,mismatch list,0.2974358701768476
6,6,differs,0.29664369233150795
6,7,serge,0.2927721685019808
6,8,output,0.28128763288016223
6,9,fix,0.26172488950365913
6,10,tensor values,0.2587276385890991
6,11,values differ,0.2587276385890991
6,12,differs 10,0.24367468284198593
6,13,differ,0.24067587306184637
6,14,list,0.23596493453056613
6,15,12,0.23159223194303757
7,1,agent,0.5349539400500446
7,2,open,0.470167392077595
7,3,source,0.4232601685448352
7,4,copilot,0.3914380051428087
7,5,open source,0.37981113104686215
7,6,chat,0.35309700145301776
7,7,agents,0.33489556731386694
7,8,version,0.28642387075242143
7,9,vs,0.26356016988680714
7,10,mcp,0.24999020582962517
7,11,file,0.24831061089560852
7,12,server,0.22912777713634383
7,13,local,0.22761767587358178
7,14,api,0.2111951395200249
7,15,error,0.20761822570684563
8,1,gemini,1.4279770975985326
8,2,google,0.6373302869966333
8,3,flash,0.5400401319652565
8,4,gemini flash,0.45270344103033305
8,5,google gemini,0.2936066659841682
8,6,image,0.2107301490993083
8,7,nano,0.15847029004595153
8,8,banana,0.14108732742390637
8,9,gemini cli,0.1356501174799557
8,10,nano banana,0.135222887357626
8,11,cli,0.11071593424580999
8,12,release,0.10980039715366731
8,13,flash lite,0.10755084007714498
8,14,lite,0.09985765174158033
8,15,lmarena,0.09573953967171077
9,1,removed,1.7789222729299476
9,2,engineering,0.16089744051663912
9,3,ml,0.1515921452879844
9,4,learn,0.1472240134229222
9,5,builder,0.12017292245255508
9,6,guess,0.11141710805548148
9,7,data,0.10131587731756755
9,8,portfolio,0.10089046297651705
9,9,transition,0.09934003923958953
9,10,generated,0.0988426286918437
9,11,years,0.09588615337703046
9,12,exercise,0.09479602510845576
9,13,resume,0.09379320684402055
9,14,built,0.0937427208698857
9,15,looking feedback,0.09167624205382946
