ai_tools,Agent / Open / Source,Anthropic / Claude Anthropic / Anthropic Claude,Claude / Sonnet / Opus,Enabled / Disabled / Ms,Gemini / Google / Flash,Gemini Pro / Pro / Gemini,Llama / Cpp / Llama Cpp,Output Mismatch / Mismatch / List Output,Removed / Engineering / Ml,Ve / Don / Know
AI,222,167,70,13,81,33,56,14,61,346
AI agent,65,8,20,0,6,4,8,0,3,39
AI coding assistant,8,0,2,0,0,0,1,0,2,5
Aider,1,0,8,0,3,4,2,0,0,2
Artificial Intelligence,3,3,0,0,1,0,0,0,2,8
ChatGPT,38,8,4,8,1,4,1,0,2,181
Claude/Anthropic,96,221,255,18,4,1,1,0,1,64
Codeium,0,0,0,1,0,0,0,0,0,0
Cursor,44,0,15,1,1,0,3,0,1,15
DeepSeek,8,4,14,2,5,9,27,0,0,31
GPT,51,3,7,4,5,4,12,1,1,147
Gemini,28,5,2,1,261,107,5,0,2,84
Generative AI,3,2,1,0,1,0,3,0,1,7
GitHub Copilot,100,3,9,30,2,0,1,0,3,7
LLM,98,21,34,0,27,9,93,1,3,163
Llama,43,1,1,0,0,2,293,1,0,78
Mistral,8,0,0,0,0,2,25,0,0,22
OpenAI,59,46,3,10,7,3,3,1,1,122
Qwen,22,2,22,0,7,9,44,0,0,30
