ai_tools,Agent / Open / Source,Anthropic / Claude Anthropic / Anthropic Claude,Claude / Sonnet / Opus,Enabled / Disabled / Ms,Gemini / Google / Flash,Gemini Pro / Pro / Gemini,Llama / Cpp / Llama Cpp,Output Mismatch / Mismatch / List Output,Removed / Engineering / Ml,Ve / Don / Know
AI,20.88,15.71,6.59,1.22,7.62,3.1,5.27,1.32,5.74,32.55
AI agent,42.48,5.23,13.07,0.0,3.92,2.61,5.23,0.0,1.96,25.49
AI coding assistant,44.44,0.0,11.11,0.0,0.0,0.0,5.56,0.0,11.11,27.78
Aider,5.0,0.0,40.0,0.0,15.0,20.0,10.0,0.0,0.0,10.0
Artificial Intelligence,17.65,17.65,0.0,0.0,5.88,0.0,0.0,0.0,11.76,47.06
ChatGPT,15.38,3.24,1.62,3.24,0.4,1.62,0.4,0.0,0.81,73.28
Claude/Anthropic,14.52,33.43,38.58,2.72,0.61,0.15,0.15,0.0,0.15,9.68
Codeium,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
Cursor,55.0,0.0,18.75,1.25,1.25,0.0,3.75,0.0,1.25,18.75
DeepSeek,8.0,4.0,14.0,2.0,5.0,9.0,27.0,0.0,0.0,31.0
GPT,21.7,1.28,2.98,1.7,2.13,1.7,5.11,0.43,0.43,62.55
Gemini,5.66,1.01,0.4,0.2,52.73,21.62,1.01,0.0,0.4,16.97
Generative AI,16.67,11.11,5.56,0.0,5.56,0.0,16.67,0.0,5.56,38.89
GitHub Copilot,64.52,1.94,5.81,19.35,1.29,0.0,0.65,0.0,1.94,4.52
LLM,21.83,4.68,7.57,0.0,6.01,2.0,20.71,0.22,0.67,36.3
Llama,10.26,0.24,0.24,0.0,0.0,0.48,69.93,0.24,0.0,18.62
Mistral,14.04,0.0,0.0,0.0,0.0,3.51,43.86,0.0,0.0,38.6
OpenAI,23.14,18.04,1.18,3.92,2.75,1.18,1.18,0.39,0.39,47.84
Qwen,16.18,1.47,16.18,0.0,5.15,6.62,32.35,0.0,0.0,22.06
