month,Agent / Open / Source,Anthropic / Claude Anthropic / Anthropic Claude,Claude / Sonnet / Opus,Enabled / Disabled / Ms,Gemini / Google / Flash,Gemini Pro / Pro / Gemini,Llama / Cpp / Llama Cpp,Output Mismatch / Mismatch / List Output,Removed / Engineering / Ml,Ve / Don / Know
2017-07,1,0,0,0,0,0,0,0,0,0
2018-11,1,0,0,0,0,0,0,0,0,0
2019-04,1,0,0,0,0,0,0,0,0,0
2020-09,1,0,0,0,0,0,0,0,0,0
2021-11,0,0,0,0,0,0,0,0,0,1
2022-11,1,0,0,0,0,0,0,0,0,0
2023-08,1,0,0,0,0,0,0,0,0,1
2023-10,1,0,0,0,0,0,0,0,0,0
2023-11,1,0,0,0,0,0,0,0,0,0
2023-12,1,0,0,0,0,0,0,0,0,0
2024-01,1,0,0,0,0,0,0,0,0,0
2024-03,1,0,0,0,0,0,0,0,0,0
2024-04,1,0,0,0,0,0,0,0,0,1
2024-05,1,0,0,0,0,0,0,0,0,1
2024-09,1,0,0,0,0,0,0,0,0,0
2024-10,1,0,0,0,0,0,1,0,0,0
2025-01,6,0,1,0,0,0,0,0,0,0
2025-02,3,0,0,0,0,0,0,0,0,0
2025-03,4,0,0,0,0,0,0,0,0,0
2025-04,3,0,0,0,1,0,0,0,0,1
2025-05,29,36,62,2,61,28,56,0,2,107
2025-06,28,25,25,0,43,25,41,0,0,94
2025-07,46,14,28,0,36,16,64,0,0,92
2025-08,48,14,47,0,56,19,74,1,0,159
2025-09,40,22,47,1,40,9,49,1,0,86
2025-10,24,13,23,2,29,18,44,1,0,58
2025-11,1,0,0,0,0,0,0,0,0,1
2025-12,4,0,0,2,0,0,0,0,0,0
2026-01,5,0,0,0,0,0,0,0,0,0
2026-02,4,0,0,1,0,0,0,0,0,0
2026-03,7,0,0,1,0,0,0,0,0,3
2026-04,8,0,0,0,0,0,0,0,0,1
2026-05,24,0,0,16,0,0,0,0,0,2
2026-06,29,0,0,5,0,0,0,0,0,2
2026-07,197,15,12,21,6,1,5,14,66,150
