month,Agent / Open / Source,Anthropic / Claude Anthropic / Anthropic Claude,Claude / Sonnet / Opus,Enabled / Disabled / Ms,Gemini / Google / Flash,Gemini Pro / Pro / Gemini,Llama / Cpp / Llama Cpp,Output Mismatch / Mismatch / List Output,Removed / Engineering / Ml,Ve / Don / Know
2017-07,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-11,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-04,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-09,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
2022-11,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-08,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0
2023-10,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-11,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-12,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0
2024-05,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0
2024-09,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-10,50.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0
2025-01,85.71,0.0,14.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-02,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-03,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-04,60.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,20.0
2025-05,7.57,9.4,16.19,0.52,15.93,7.31,14.62,0.0,0.52,27.94
2025-06,9.96,8.9,8.9,0.0,15.3,8.9,14.59,0.0,0.0,33.45
2025-07,15.54,4.73,9.46,0.0,12.16,5.41,21.62,0.0,0.0,31.08
2025-08,11.48,3.35,11.24,0.0,13.4,4.55,17.7,0.24,0.0,38.04
2025-09,13.56,7.46,15.93,0.34,13.56,3.05,16.61,0.34,0.0,29.15
2025-10,11.32,6.13,10.85,0.94,13.68,8.49,20.75,0.47,0.0,27.36
2025-11,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0
2025-12,66.67,0.0,0.0,33.33,0.0,0.0,0.0,0.0,0.0,0.0
2026-01,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-02,80.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03,63.64,0.0,0.0,9.09,0.0,0.0,0.0,0.0,0.0,27.27
2026-04,88.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.11
2026-05,57.14,0.0,0.0,38.1,0.0,0.0,0.0,0.0,0.0,4.76
2026-06,80.56,0.0,0.0,13.89,0.0,0.0,0.0,0.0,0.0,5.56
2026-07,40.45,3.08,2.46,4.31,1.23,0.21,1.03,2.87,13.55,30.8
